,cluster_no,rep_member,member_ID,n_members,n_SAVs
1,583,Q9H3D4,"Q9H3D4,P04637",2,1105.0
2,46,P00451,"P00451,P00450",2,675.0
3,1291,P10321,"P10321,P04439,P01889,P13747,Q30201,P30511,Q95460,P25311,P01891,P01892,P05534,P13746,P30443,P03989,P10319,P18464,P18465,P30460,P30464,P30466,P30475,P30479,P30480,P30481,P30484,P30490,P30491,P30685,Q04826,Q31610,P04222,P30504,P30505,Q29963,Q9TNN7,Q6DU44",36,400.0
4,306,Q14114,"Q14114,P01130",2,370.0
5,990,P08709,"P08709,P00740,P04070,P22891,Q9Y337",5,288.0
6,843,P07101,"P07101,Q8IWU9,P00439",3,254.0
7,1094,P06280,"P06280,P17050",2,247.0
8,125,P13569,P13569,1,241.0
9,735,P08842,"P08842,P34059,P15289",3,229.0
10,1548,P13765,"P13765,P01911,P79483,Q30154,P01920,P04440,P01912,P04229,P13760,P20039",10,224.0
11,29,O43451,"O43451,P14410,P10253",3,178.0
12,155,Q9UHC9,"Q9UHC9,O15118",2,172.0
13,71,P12883,P12883,1,166.0
14,616,Q06187,"Q06187,P42680,Q08881,P07948",4,165.0
15,52,P27708,"P27708,P31327",2,150.0
16,437,P00747,"P00747,P14210,P26927,P35030,P08246,P24158,P08311",7,133.0
17,335,P52790,"P52790,P52789,P19367,P35557",4,128.0
18,805,P22304,P22304,1,127.0
19,686,O00255,O00255,1,126.0
20,811,Q16678,"Q16678,P05177,P04798,P10635",4,125.0
21,827,P04062,P04062,1,125.0
22,499,P22033,P22033,1,125.0
23,647,P03952,"P03952,P03951,P20231,Q15661,Q99895",5,122.0
24,756,P30613,"P30613,P14618",2,118.0
25,430,P20807,"P20807,P07384,P17655,O14815,P04632",5,114.0
26,878,Q04771,"Q04771,P37023,P36897,O00238",4,114.0
27,497,P40692,P40692,1,112.0
28,107,Q09428,"Q09428,P33527",2,109.0
29,428,P11362,"P11362,P21802,P22607,P22455",4,105.0
30,801,P35520,P35520,1,105.0
31,21,Q13315,Q13315,1,104.0
32,996,P01008,"P01008,P01011,P05120,Q99574,P29508,P30740",6,98.0
33,586,P16278,P16278,1,98.0
34,907,P05155,P05155,1,94.0
35,988,P49768,P49768,1,90.0
36,918,P11509,"P11509,Q16696,P05181,P20813,P11712,P10632,P33261",7,89.0
37,683,Q9UBP0,Q9UBP0,1,88.0
38,1768,P42773,"P42773,P42771",2,88.0
39,249,P41180,P41180,1,88.0
40,217,Q12809,Q12809,1,87.0
41,1069,Q92947,Q92947,1,85.0
42,1146,P00966,P00966,1,85.0
43,1545,O14618,"O14618,P00441",2,84.0
44,1614,P25189,P25189,1,81.0
45,1674,P00492,P00492,1,77.0
46,189,P54098,P54098,1,76.0
47,656,P20823,"P20823,P35680",2,76.0
48,917,P08686,P08686,1,75.0
49,865,P11413,P11413,1,75.0
50,1307,P08397,P08397,1,75.0
51,1583,P20036,"P20036,P01909,P06340",3,74.0
52,192,P08603,P08603,1,73.0
53,1052,Q93099,Q93099,1,72.0
54,495,P49747,P49747,1,72.0
55,233,P07949,P07949,1,71.0
56,1254,P07902,P07902,1,71.0
57,1298,P04001,"P04001,P04000,P08100",3,71.0
58,322,P43246,P43246,1,70.0
59,27,P04275,P04275,1,69.0
60,834,P15848,P15848,1,69.0
61,293,P35523,P35523,1,68.0
62,150,P06213,"P06213,P08069",2,68.0
63,64,Q14524,"Q14524,P35499",2,68.0
64,1619,O15305,O15305,1,67.0
65,995,P04424,P04424,1,67.0
66,874,P04745,"P04745,Q16874",2,67.0
67,511,P54802,P54802,1,66.0
68,1652,P29033,P29033,1,66.0
69,898,P51688,P51688,1,66.0
70,624,P35475,P35475,1,64.0
71,859,P05108,"P05108,P15538,P19099",3,64.0
72,969,P06858,P06858,1,62.0
73,892,Q99972,Q99972,1,60.0
74,1170,P60484,P60484,1,59.0
75,1087,P45954,"P45954,P26440,P11310,Q9UKU7,P16219",5,57.0
76,405,P06737,"P06737,P11216,P11217",3,56.0
77,120,Q04656,"Q04656,P35670",2,55.0
78,790,P07686,"P07686,P06865",2,55.0
79,1607,P30793,P30793,1,54.0
80,715,Q06124,Q06124,1,53.0
81,928,P10827,"P10827,P10828",2,53.0
82,959,P50336,P50336,1,53.0
83,24,P35555,P35555,1,52.0
84,241,Q2Y0W8,"Q2Y0W8,Q9Y6R1,P02730",3,51.0
85,1222,Q14654,Q14654,1,50.0
86,234,P09619,"P09619,P16234,P10721,P07333",4,49.0
87,418,Q8NFZ4,"Q8NFZ4,Q8N0W4,P22303,P06276,P23141",5,48.0
88,621,P49748,P49748,1,48.0
89,1671,Q92963,"Q92963,P62070,P01116,P01112,P01111,Q15382",6,48.0
90,617,P17813,P17813,1,47.0
91,1398,P32245,P32245,1,47.0
92,264,P06756,"P06756,P08514",2,46.0
93,197,P78504,"P78504,Q9NR61",2,46.0
94,1448,P45381,P45381,1,46.0
95,51,O95477,O95477,1,45.0
96,872,Q6PXP3,"Q6PXP3,P11169,P11166",3,45.0
97,154,P52701,P52701,1,44.0
98,78,P16144,"P16144,P18564,P05106",3,44.0
99,993,O60260,O60260,1,42.0
100,411,Q16288,"Q16288,Q16620,P04629",3,42.0
101,1085,Q15831,Q15831,1,41.0
102,163,Q07889,Q07889,1,41.0
103,1290,P06132,P06132,1,41.0
104,760,Q9BZ23,Q9BZ23,1,41.0
105,971,P55084,"P55084,P24752,P09110,P42765,Q9BWD1",5,41.0
106,1221,P08559,P08559,1,40.0
107,527,P00488,"P00488,Q08188,P21980",3,40.0
108,875,P07954,P07954,1,40.0
109,1239,Q29980,"Q29980,Q29983",2,40.0
110,147,Q04912,"Q04912,P08581",2,40.0
111,538,Q9Y223,Q9Y223,1,40.0
112,75,P38398,P38398,1,39.0
113,1284,P31785,P31785,1,39.0
114,328,P06400,P06400,1,38.0
115,540,Q13144,Q13144,1,38.0
116,53,P12259,P12259,1,38.0
117,257,P29323,"P29323,P54756,P29322,Q15375,P54760,P54764,P54762,P29320,P29317",9,38.0
118,360,O75891,"O75891,P51649,O94788,P05091,P47895,P00352",6,38.0
119,674,P00734,"P00734,P00742",2,38.0
120,1251,P00156,P00156,1,37.0
121,482,P15056,"P15056,P04049",2,37.0
122,1038,P02679,P02679,1,37.0
123,1657,O15537,O15537,1,36.0
124,619,P42898,P42898,1,35.0
125,277,Q9UIQ6,"Q9UIQ6,P15144,Q6P179,Q07075,Q9NZ08",5,35.0
126,775,O14773,O14773,1,34.0
127,444,O75582,"O75582,P51812,Q15418,P23443",4,34.0
128,12,P78527,P78527,1,33.0
129,808,Q9UIF7,Q9UIF7,1,33.0
130,252,P42336,"P42336,O00329",2,33.0
131,292,P38935,P38935,1,32.0
132,1636,Q14353,Q14353,1,32.0
133,1057,P43629,"P43629,Q99706,P43626,P43627,P43628,P43631,P43632",7,32.0
134,1065,P04180,P04180,1,32.0
135,1202,P63092,"P63092,P08754,P09471",3,31.0
136,556,P00736,"P00736,P48740,P09871,O00187",4,31.0
137,940,P30566,P30566,1,30.0
138,522,P51659,P51659,1,30.0
139,1329,P00480,P00480,1,30.0
140,626,P08236,P08236,1,29.0
141,584,P38646,"P38646,P11021,P11142,P17066,P34931,P54652",6,29.0
142,1413,P51857,"P51857,P14550,P17516,Q04828,P52895,P42330,P15121,O60218",8,29.0
143,896,P08684,"P08684,P20815",2,29.0
144,1004,Q15465,Q15465,1,29.0
145,124,Q13224,"Q13224,Q12879",2,29.0
146,17,Q9H251,Q9H251,1,28.0
147,1238,Q9HC16,"Q9HC16,Q9UH17,Q8IUX4,Q6NTF7,P31941,Q9GZX7",6,28.0
148,573,Q8NBP7,Q8NBP7,1,28.0
149,1001,P53634,P53634,1,27.0
150,769,P37173,"P37173,P27037,Q13705",3,27.0
151,116,Q14004,"Q14004,P50613,Q00534,Q00526,P11802,P24941,Q00535",7,27.0
152,1268,P41597,"P41597,P51681",2,27.0
153,1264,P63261,"P63261,P60709",2,27.0
154,785,Q8WXF7,"Q8WXF7,Q6DD88",2,27.0
155,938,P51648,"P51648,P30838",2,27.0
156,1501,P18440,"P18440,P11245",2,26.0
157,361,Q01968,Q01968,1,26.0
158,1044,P23258,"P23258,Q71U36,Q13509,Q9BVA1,P07437",5,26.0
159,575,P25098,"P25098,P34947,P32298,P43250",4,26.0
160,493,P18074,P18074,1,26.0
161,415,Q15063,"Q15063,Q15582",2,26.0
162,1297,P04075,"P04075,P05062,P09972",3,26.0
163,119,O94759,"O94759,Q8TD43",2,25.0
164,137,Q13635,Q13635,1,25.0
165,1055,P12694,P12694,1,25.0
166,1300,P00813,P00813,1,25.0
167,1212,P21549,P21549,1,25.0
168,338,P10275,P10275,1,25.0
169,885,P05093,P05093,1,25.0
170,10,Q8NCM8,Q8NCM8,1,25.0
171,1209,P21953,"P21953,P11177",2,24.0
172,1033,P36551,P36551,1,24.0
173,1521,Q13520,"Q13520,P41181,P29972",3,24.0
174,1296,O00204,"O00204,Q6IMI6,O75897,O00338,P50225,P50226,P49888,Q06520",8,24.0
175,1123,O14733,"O14733,P36507,P45985,Q02750",4,24.0
176,118,O95255,O95255,1,24.0
177,736,P50281,"P50281,O60882,P08254,P09238,P45452,P39900,P03956,P22894,P09237",9,24.0
178,35,P42345,P42345,1,24.0
179,697,P03915,P03915,1,24.0
180,1538,O43240,"O43240,P06870,P07288,P20151,O60259,Q9Y5K2,P23946,P07477,Q92876",9,23.0
181,724,P22557,P22557,1,23.0
182,170,P12821,"P12821,Q9BYF1",2,23.0
183,6,Q14204,Q14204,1,23.0
184,31,Q96L73,Q96L73,1,23.0
185,11,P98161,P98161,1,23.0
186,1108,P22830,P22830,1,23.0
187,66,Q6N021,Q6N021,1,23.0
188,161,Q06278,"Q06278,P47989",2,23.0
189,1352,P46597,P46597,1,22.0
190,26,P21359,P21359,1,22.0
191,1530,Q9HAN9,"Q9HAN9,Q96T66",2,22.0
192,224,P00519,"P00519,P06241,P12931,P08631,P06239,Q13882,P41240",7,22.0
193,1331,P16442,P16442,1,22.0
194,894,P78324,"P78324,Q9P1W8",2,22.0
195,1162,Q9BY76,"Q9BY76,O75636",2,22.0
196,1347,P03891,P03891,1,21.0
197,491,Q16853,"Q16853,P19801",2,21.0
198,710,P35240,"P35240,P15311,P26038",3,21.0
199,589,O15296,"O15296,P09917,P18054,P16050",4,21.0
200,622,Q04756,"Q04756,P00748,P00749,P49863,P10144",5,21.0
201,280,Q92834,Q92834,1,20.0
202,481,P05107,P05107,1,20.0
203,176,P08183,P08183,1,20.0
204,813,O96017,O96017,1,20.0
205,503,Q03518,"Q03518,Q03519",2,20.0
206,95,P01024,P01024,1,20.0
207,734,P05156,P05156,1,20.0
208,272,Q13873,Q13873,1,20.0
209,84,P0C0L5,"P0C0L5,P0C0L4",2,20.0
210,1400,O95278,O95278,1,20.0
211,548,P02788,"P02788,P02787",2,19.0
212,30,Q14315,"Q14315,P21333,O75369",3,19.0
213,1606,Q9Y3A5,Q9Y3A5,1,19.0
214,159,P21860,"P21860,Q15303,P04626,P00533",4,19.0
215,1127,P01009,"P01009,Q8IW75,P05154,P08185",4,19.0
216,1556,P02647,P02647,1,19.0
217,88,Q12756,Q12756,1,19.0
218,1061,P24530,P24530,1,19.0
219,1414,P35914,P35914,1,19.0
220,207,P29597,"P29597,P23458,O60674,P52333",4,19.0
221,945,P19971,P19971,1,19.0
222,974,P41235,"P41235,Q14541",2,19.0
223,1022,Q01415,"Q01415,P51570",2,19.0
224,1435,P12318,"P12318,P31994,P08637,O75015",4,18.0
225,1597,P53674,"P53674,P26998,P43320,P53673,P07316,P07320,P07315",7,18.0
226,1101,P45983,"P45983,P45984,P27361,P53778,O15264,Q15759,Q16539",7,18.0
227,786,P06744,P06744,1,18.0
228,964,Q9BZP6,"Q9BZP6,Q13231,Q15782,P36222",4,17.0
229,296,P08235,"P08235,P04150",2,17.0
230,593,Q9H221,Q9H221,1,17.0
231,582,P23352,P23352,1,17.0
232,467,P06396,"P06396,Q9Y6U3,P40121",3,17.0
233,0,Q8WZ42,Q8WZ42,1,17.0
234,201,O94761,O94761,1,17.0
235,1194,Q03426,Q03426,1,17.0
236,486,P16473,"P16473,P22888,P23945",3,17.0
237,926,P02675,P02675,1,17.0
238,92,P01031,P01031,1,17.0
239,144,P54132,P54132,1,17.0
240,1006,P19793,"P19793,P24468,Q9Y5X4",3,17.0
241,939,Q9UBX1,"Q9UBX1,P09668,P07711,P25774,P43235",5,17.0
242,204,Q13255,"Q13255,Q14831,O00222,Q14832",4,17.0
243,649,P10912,P10912,1,16.0
244,227,Q02763,Q02763,1,16.0
245,412,O00206,O00206,1,16.0
246,470,O15553,O15553,1,16.0
247,580,P24723,"P24723,P17252,P05771,P31751,P31749,O00141,P17612",7,16.0
248,669,Q14145,"Q14145,Q9UH77",2,16.0
249,1522,Q9Y4U1,Q9Y4U1,1,16.0
250,1128,Q8IVH4,Q8IVH4,1,16.0
251,32,Q13535,Q13535,1,16.0
252,1587,Q7L0Q8,"Q7L0Q8,P08134,P15153,P63000,P60953",5,16.0
253,629,Q8NHL6,"Q8NHL6,Q8N423,Q8NHJ6,Q9HCN6",4,16.0
254,305,Q13563,"Q13563,Q9P0L9",2,16.0
255,308,O76039,"O76039,Q92772,Q00532",3,16.0
256,948,P10619,P10619,1,16.0
257,607,O00571,O00571,1,16.0
258,529,Q9UHD2,Q9UHD2,1,15.0
259,1339,O75695,O75695,1,15.0
260,1653,P21266,"P21266,P28161,P09488,Q03013,P09211",5,15.0
261,973,P48637,P48637,1,15.0
262,267,Q86Z14,"Q86Z14,Q9UEF7,Q9H227",3,15.0
263,623,Q9UNQ0,Q9UNQ0,1,15.0
264,1562,P10746,P10746,1,15.0
265,1452,Q5TBB1,Q5TBB1,1,14.0
266,1345,Q14376,Q14376,1,14.0
267,1663,O15217,"O15217,Q16772,P09210,P08263",4,14.0
268,1110,Q96IY4,"Q96IY4,Q9UI42,P48052,P15085,Q8IVL8",5,14.0
269,1109,P50440,P50440,1,14.0
270,323,P13671,"P13671,P10643",2,14.0
271,1082,O75469,"O75469,P11473,Q14994",3,14.0
272,54,Q13402,"Q13402,Q6PIF6",2,14.0
273,1678,P01241,P01241,1,14.0
274,391,P02671,"P02671,O00602,Q15485",3,14.0
275,213,P20701,"P20701,P20702,P11215",3,14.0
276,1286,P51686,"P51686,P30556,P25024",3,14.0
277,779,P36871,P36871,1,14.0
278,1016,Q16790,"Q16790,P23280,Q8N1Q1,P00915,P00918",5,14.0
279,208,Q86YC2,Q86YC2,1,13.0
280,605,Q9UM07,"Q9UM07,Q9ULC6",2,13.0
281,613,Q8WZA1,Q8WZA1,1,13.0
282,442,P55072,P55072,1,13.0
283,687,P02768,"P02768,P43652",2,13.0
284,1621,P09417,P09417,1,13.0
285,609,P19113,"P19113,P20711",2,13.0
286,554,P14780,"P14780,P08253",2,13.0
287,787,P00367,P00367,1,13.0
288,1434,P02649,P02649,1,13.0
289,153,P35916,"P35916,P35968,P17948",3,13.0
290,1519,P11086,"P11086,O95050",2,13.0
291,1763,P03923,P03923,1,13.0
292,1431,P03886,P03886,1,12.0
293,1323,Q7Z2E3,Q7Z2E3,1,12.0
294,63,P17927,"P17927,P20023",2,12.0
295,544,Q9Y253,Q9Y253,1,12.0
296,1378,O14832,O14832,1,12.0
297,325,Q9Y210,"Q9Y210,Q13507",2,12.0
298,1534,Q16854,"Q16854,P27707",2,12.0
299,516,P41250,P41250,1,12.0
300,507,Q15910,Q15910,1,12.0
301,487,P00751,"P00751,P06681",2,12.0
302,1393,P07195,"P07195,P00338",2,12.0
303,347,O43707,"O43707,P35609,P12814",3,12.0
304,797,Q13485,"Q13485,Q15796,P84022",3,12.0
305,274,Q5JRX3,Q5JRX3,1,12.0
306,650,P43405,"P43405,P43403",2,12.0
307,968,P18507,"P18507,P28472,P14867",3,12.0
308,1754,P07741,P07741,1,12.0
309,712,Q99259,"Q99259,Q05329",2,12.0
310,130,P02452,P02452,1,12.0
311,1228,P40394,"P40394,P08319,P00326,P00325,P11766",5,12.0
312,1369,P62873,P62873,1,12.0
313,1113,Q9HCP0,"Q9HCP0,P78368",2,12.0
314,655,P17405,P17405,1,12.0
315,1234,Q9NZN9,"Q9NZN9,O00170",2,12.0
316,399,O60602,O60602,1,11.0
317,577,Q9NYY3,"Q9NYY3,Q9H4B4,P53350",3,11.0
318,966,P01019,P01019,1,11.0
319,1513,P49675,P49675,1,11.0
320,761,P04839,P04839,1,11.0
321,587,P16435,P16435,1,11.0
322,1473,P00387,P00387,1,11.0
323,639,Q9NRR6,Q9NRR6,1,11.0
324,1504,P00491,P00491,1,11.0
325,873,Q9NZK5,Q9NZK5,1,11.0
326,362,Q02487,"Q02487,Q08554",2,11.0
327,1210,P15529,P15529,1,11.0
328,230,Q14126,Q14126,1,11.0
329,929,P15260,P15260,1,11.0
330,934,P17213,P17213,1,11.0
331,862,Q99593,Q99593,1,11.0
332,866,P20839,"P20839,P12268",2,10.0
333,1335,Q8N335,"Q8N335,P21695",2,10.0
334,837,Q02318,Q02318,1,10.0
335,179,Q99707,Q99707,1,10.0
336,348,P49917,P49917,1,10.0
337,500,P42224,P42224,1,10.0
338,523,O00522,O00522,1,10.0
339,1573,Q99714,Q99714,1,10.0
340,921,P11597,P11597,1,10.0
341,23,P15924,P15924,1,10.0
342,681,P09172,P09172,1,10.0
343,1502,P30084,P30084,1,10.0
344,1050,P21728,"P21728,P28222",2,10.0
345,15,P11532,"P11532,P46939",2,10.0
346,498,Q04609,"Q04609,Q9UQQ1,Q9Y3Q0",3,10.0
347,461,Q15399,Q15399,1,10.0
348,759,Q16555,"Q16555,Q14194,Q14195,Q9BPU6,Q14117",5,10.0
349,1160,Q9UDX3,"Q9UDX3,O76054,Q9UDX4",3,10.0
350,1183,O14958,"O14958,P31415",2,10.0
351,1689,Q16667,Q16667,1,10.0
352,699,Q92630,"Q92630,O43781",2,10.0
353,705,Q9H2C0,Q9H2C0,1,10.0
354,464,Q01813,"Q01813,P08237",2,10.0
355,18,P42858,P42858,1,10.0
356,284,P09874,"P09874,Q9UGN5,Q9Y6F1",3,10.0
357,276,Q12840,Q12840,1,10.0
358,76,Q9Y4I1,"Q9Y4I1,Q9ULV0,Q9NQX4",3,10.0
359,1097,P20062,P20062,1,10.0
360,13,Q01484,"Q01484,P16157",2,10.0
361,1702,P16455,P16455,1,10.0
362,562,Q04446,Q04446,1,10.0
363,1461,P50897,P50897,1,10.0
364,1595,O95571,O95571,1,9.0
365,502,P28329,P28329,1,9.0
366,1695,Q16595,Q16595,1,9.0
367,490,P40939,P40939,1,9.0
368,1330,P78540,"P78540,P05089",2,9.0
369,1193,P06727,P06727,1,9.0
370,821,P49419,P49419,1,9.0
371,1197,Q00266,Q00266,1,9.0
372,1005,P68104,P68104,1,9.0
373,1031,O43293,"O43293,Q86YV6,Q9UIK4",3,9.0
